Winner_recod,Title_bound_recod,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
1,0,3,0,1,1,0,0,0,4,0,3,2,6,2,0,0,0,6,1,7,2,0.28,2,9,5,0.55,44,31,1,0,5,4,4,3,8,3,13,7,19,8,0,1,1,0,2,25,13,0.52,0,0,0,0,38,25,2,492,0,0,0,0,0,1,0,1,175.26,180.34,145,0,1,28.67,23.67,1,1,223.67,101.33,4,2.33,197.33,79,0,2.67,2,0.33,0,228.67,104.67,0.42,0.33,0.33,0.33,0.33,244.67,120.67,1,2,24,14,6,4.33,242,60.67,11.67,9.67,221.67,48,0.33,14,12.67,0.33,0,259.67,74.67,0.32,0,7.67,2.33,0.31,294.33,105,9,900,0,0,0,1,0,0,0,1,167.64,177.8,135,24,28
0,0,3,0,1,6,5.25,8.25,5,16.25,7.25,15.25,12.75,28.5,16,0.25,5.25,3.75,1.5,0.25,39.75,25,0.49,0.5,2.75,1,0.22,78.5,58.75,1,2,2.5,1.75,5.75,4.25,9.5,3.75,2.25,1.25,13,5.75,0.25,2,1.75,0.5,0,17.5,9.25,0.58,1.5,2,0.5,0.33,35.25,24.5,7,422.25,0,0,0,1,0,1,0,2,175.26,182.88,145,1,0,16.33,11.17,22.17,15.17,120,39.5,2,0.67,115.67,34.33,0,12.17,9.83,0.5,0.17,144.17,55.33,0.39,0,3.33,0.67,0.25,157,67.17,3,2,13.17,9.33,16,10,116.83,25.67,1,0.5,110.5,20.5,0.33,10.17,6.33,0.33,0.17,133.83,36.17,0.29,0.17,2.5,0.67,0.27,144.17,45.83,16,764.5,1,0,0,3,0,0,1,4,172.72,175.26,155,30,27
1,0,3,1,0,23,17.5,22,15.5,79.5,30,6,2.5,69,20.5,0.5,15.5,10,0,0,107.5,48,0.43,0,1.5,1,0.5,115,54.5,1,1,13.5,9,26.5,19,64.5,16.5,23,19.5,78.5,27,0,22,19,2.5,0,114,55,0.48,0.5,12.5,4,0.35,174.5,106.5,6,900,0,0,1,0,0,0,0,1,167.64,170.18,145,3,0,2.5,2.33,3.67,3.17,23.5,7.17,6.83,3,28.33,8.17,0,3.17,2.83,0.33,0,34,13.33,0.41,0.67,4.83,1,0.19,46.67,24.83,2,4,3.67,3.33,4.5,4,25.5,10.83,4,2.33,24.5,8.83,0.17,5.83,5,0,0,34,17.17,0.59,0.17,2,0.5,0.07,59,39.83,11,387.33,1,0,0,0,0,2,0,2,165.1,170.18,135,29,30
1,0,3,0,1,2,2,2,2,84,20,14,8,90,22,0,8,6,4,0,100,30,0.3,1,2,1,0.5,119,47,1,0,3,2,4,2,83,13,0,0,75,10,0,9,3,0,0,87,15,0.17,0,1,0,0,88,16,2,599,0,0,0,0,0,1,0,1,170.18,182.88,145,1,0,13,9.5,3.5,3,91.75,28,8,5.25,86.5,24.25,0.5,3.75,2.5,0.25,0,103.25,36.25,0.4,0.25,0.5,0.25,0.13,128.75,57.5,3,1,4.5,2.75,1.25,0.75,119.5,32.75,12.25,7,113.75,25,0.25,14.75,12.75,0.25,0,133,40.5,0.31,0.25,4.25,1.5,0.26,144,50,11,725,1,0,0,1,1,1,0,3,172.72,172.72,145,24,29
0,0,3,0,2,5.5,4,5,3.5,18,6.5,4.5,4.5,15.5,6,0.5,6.5,4.5,0,0.5,27.5,14.5,0.48,0.5,0.5,0,0,31,18,2,0,1,0.5,0,0,19,8.5,0,0,11.5,3,0,6.5,5,0,0,19,8.5,0.72,0,0,0,0,19,8.5,2,161,0,0,0,0,1,1,0,2,185.42,185.42,145,0,2,11,8.5,46.5,24,94.5,49.5,6,3.5,121.5,55.5,0,14.5,13,1,0.5,147,77,0.52,0,4.5,2.5,0.28,167.5,95,2,0,15,10.5,10.5,6,88,27.5,3.5,3,74,15.5,0,13,10.5,1.5,0,102,36.5,0.36,1,4.5,1,0.11,135.5,68.5,6,900,0,0,0,2,0,0,0,2,175.26,182.88,155,28,22
0,0,3,1,0,20,16,10,8,146,44,5,5,121,24,0,20,17,0,0,161,57,0.35,0,0,0,0,208,102,0,1,6,6,11,7,135,70,0,0,123,56,0,17,15,2,0,146,77,0.52,0,9,5,0.55,154,84,3,900,0,0,0,0,0,0,0,0,175.26,185.42,145,4,0,3.75,3.5,10.25,6.25,65.25,21.75,6.75,3.75,76.25,26,0,2.25,2.25,0.25,0.75,82.25,31.75,0.38,1.25,1.5,0.75,0.5,131.25,76,0,4,9,4.25,7.75,2.75,107,34.25,25.75,16,126.25,44,0,5.25,4.75,2,0.75,140.5,53,0.43,0,8.25,4,0.49,172.5,80.75,12,900,0,0,0,0,0,0,0,0,167.64,172.72,145,25,35
0,1,5,0,1,7.25,5.31,6.5,4.13,40.44,12.13,16,9.63,51.75,17.69,0.06,3.94,2.88,2.5,0.06,62.94,25.88,0.45,0.81,3.88,1.56,0.45,98.56,59,6,4,6,3.19,8.13,4.69,33.5,7.13,11.25,6.63,42.63,12.69,0.06,4.25,2.56,1.38,0,52.88,18.44,0.33,0.38,3.38,1.38,0.33,73.44,37.69,37,609.88,3,0,0,2,2,7,1,12,177.8,187.96,145,0,1,5,4,0,0,166,66,49,28,191,72,1,19,18,1,0,215,94,0.43,1,9,5,0.55,258,131,1,0,25,17,1,1,149,50,31,20,148,50,0,8,4,1,0,181,71,0.39,0,2,1,0.5,274,147,5,1500,1,0,0,1,0,0,0,1,170.18,177.8,145,35,25
1,0,3,2,0,18.5,14,1.5,1.5,167,65.5,5,3,151.5,53,0,3.5,3,0.5,0,173.5,70,0.38,0.5,0,0,0,187,83.5,0,2,22,11.5,7.5,6,177.5,41.5,17.5,14.5,172,44,0,8.5,6.5,0.5,0,202.5,62,0.35,0,10.5,3.5,0.47,250.5,104,6,900,0,0,0,0,0,0,0,0,167.64,177.8,135,1,0,7.6,4.6,6.4,3.4,88,19,4.8,3.2,85.2,17.4,0,6.4,3.6,1,1,99.2,25.6,0.37,0.6,1.2,0.4,0.13,128.8,50,1,3,6.6,5.2,9.2,4.4,78.6,27.2,29.4,16.8,107.8,41,0,2.8,2.2,5,0.6,117.2,48.4,0.48,2.6,2.6,2,0.57,155.6,80,12,712.2,0,0,1,0,0,1,0,2,177.8,175.26,145,28,32
1,0,3,0,1,5.33,2.67,0,0,97.67,26,0.33,0,92.67,23.33,0,0,0,0,0,98,26,0.09,0,2.33,1,0.58,98.33,26.33,1,1,4,4,0,0,48.67,22,1.33,1,45,18,0,1,1,0,0,50,23,0.47,0.67,0.67,0.33,0.17,55.67,27,5,328.33,0,0,0,1,1,0,0,2,177.8,180.34,145,0,1,0,0,1,0,10,4,0,0,11,4,0,0,0,0,0,11,4,0.36,1,0,0,0,11,4,1,0,0,0,1,0,5,2,0,0,5,1,0,1,1,0,0,6,2,0.33,0,0,0,0,6,2,1,48,0,0,0,0,0,1,0,1,172.72,177.8,155,27,33
1,0,3,0,1,1,1,0,0,18,4,0,0,16,2,1,1,1,0,0,18,4,0.22,0,0,0,0,19,5,1,0,4,3,0,0,20,9,0,0,12,3,0,4,3,0,0,20,9,0.45,0,0,0,0,20,9,1,152,0,0,0,0,1,0,0,1,177.8,180.34,155,0,1,0,0,4,2,30,7,33,23,67,32,0,0,0,4,0,67,32,0.47,0,13,3,0.23,95,57,1,0,3,2,13,10,44,18,5,2,55,24,1,4,4,0,1,62,30,0.48,0,1,0,0,70,38,3,900,1,0,0,1,0,0,0,1,182.88,185.42,145,22,26
